rank,movie,year,rating
1,Vikram,2022,8.4
2,Ponniyin Selvan: Part I,2022,7.8
3,Mahaan,2022,7.6
4,Vendhu Thanindhathu Kaadu,2022,7.4
5,Mudhal Nee Mudivum Nee,2022,8
6,Sila Nerangalil Sila Manidhargal,2022,8
7,FIR,2022,6.9
8,Kadaisi Vivasayi,2021,8.8
9,Taanakkaran,2022,8.1
10,Saani Kaayidham,2022,7.5
11,Nenjuku Needhi,2022,7.3
12,Thiruchitrambalam,2022,7.9
13,Sardar,2022,7.6
14,Rocketry: The Nambi Effect,2022,8.8
15,Otru,2022,9.1
16,Gargi,2022,8.1
17,Iravin Nizhal,2022,6.7
18,Cobra,2022,6.1
19,Natchathiram Nagargirathu,2022,6.9
20,Vaathi,2023,NA
21,Ayalaan,NA,NA
22,Dhruva Natchathiram,2022,9.2
23,Joshua: Imai Pol Kaka,2022,8
24,Pisasu 2,2022,0
25,Borrder,2023,NA
26,Viduthalai,2022,0
27,Thunivu,2023,NA
28,Naane Varuven,2022,6.2
